Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 1 quality,Step 2 quality,Step 3 quality,Step 4 quality,Step 5 quality,Step 6 quality,Wafer quality,Yield
1,1,1,1,1,1,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.918331356947591,0.9547340641867698,0.9925149303827268,0.6746298203176478
1,1,1,1,1,2,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.918331356947591,0.9258511383300532,0.9991063559046791,0.6585654671779103
1,1,1,1,1,3,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.918331356947591,0.9333919120093787,0.9984364333122567,0.6634841019519253
1,1,1,1,1,4,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.918331356947591,0.9892474509119864,0.9963719443828012,0.7017339650544234
1,1,1,1,1,5,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.918331356947591,0.9139718352874934,0.9999010714116999,0.6506327411068022
1,1,1,1,1,6,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.918331356947591,0.9198358504497445,0.999399195358443,0.6544785161887886
1,1,1,1,1,7,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.918331356947591,0.8937454772594808,0.9985493784159469,0.6353740454165033
1,1,1,1,2,1,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.9208988763427612,0.9547340641867698,0.9992114550625852,0.6810804574459136
1,1,1,1,2,2,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.9208988763427612,0.9258511383300532,0.996657567170339,0.6587880763294522
1,1,1,1,2,3,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.9208988763427612,0.9333919120093787,0.9939305538500505,0.6623364732789575
1,1,1,1,2,4,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.9208988763427612,0.9892474509119864,0.9958277411703095,0.7033115619907238
1,1,1,1,2,5,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.9208988763427612,0.9139718352874934,0.9937741190862884,0.6484538778757102
1,1,1,1,2,6,0.9196109124234302,0.9501917358424623,0.9735217638413252,0.9113508935074637,0.9208988763427612,0.9198358504497445,0.9948035178908524,0.6532903471680874
